source,uniqueId,igsn,hatchSpacing_mm,laserPower_W,laserVelocity_mm_s,layerThickness_mm,VED_J_per_mm3
NASA TTT,B29_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,365.0,2350.0,0.03,28.76280535855004
NASA TTT,B30_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,230.0,3960.0,0.03,38.72053872053873
NASA TTT,B31_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,190.0,410.0,0.03,118.82426516572858
NASA TTT,B32_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,200.0,1830.0,0.03,52.04267499349466
NASA TTT,B33_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,320.0,640.0,0.03,104.16666666666667
NASA TTT,B34_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,205.0,3240.0,0.03,42.18106995884774
NASA TTT,B35_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,155.0,1440.0,0.03,119.59876543209879
NASA TTT,B36_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.15,230.0,460.0,0.03,111.11111111111111
NASA TTT,B37_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,325.0,800.0,0.03,112.84722222222223
NASA TTT,B38_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,260.0,1660.0,0.03,43.507362784471226
NASA TTT,B39_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,210.0,1740.0,0.03,25.14367816091954
NASA TTT,B40_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,365.0,2440.0,0.03,71.23341139734582
NASA TTT,B41_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,175.0,650.0,0.03,56.08974358974359
NASA TTT,B42_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,315.0,3500.0,0.03,100.0
NASA TTT,B43_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.16,280.0,2010.0,0.03,29.021558872305143
NASA TTT,B44_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,350.0,3990.0,0.03,58.4795321637427
NASA TTT,B45_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,265.0,3990.0,0.03,73.79560011138959
NASA TTT,B46_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,215.0,2670.0,0.03,89.47149396587601
NASA TTT,B47_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,145.0,3680.0,0.03,32.83514492753623
NASA TTT,B48_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,180.0,2630.0,0.03,38.022813688212935
NASA TTT,B49_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,360.0,3180.0,0.03,41.9287211740042
NASA TTT,B50_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,285.0,2930.0,0.03,40.52901023890785
NASA TTT,B51_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,125.0,400.0,0.03,115.74074074074073
NASA TTT,B52_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,140.0,2360.0,0.03,39.548022598870055
NASA TTT,B53_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.17,235.0,1150.0,0.03,40.068201193520885
NASA TTT,B54_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,290.0,1560.0,0.03,34.42545109211776
NASA TTT,B55_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,275.0,1530.0,0.03,119.82570806100219
NASA TTT,B56_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,170.0,1880.0,0.03,25.11820330969267
NASA TTT,B57_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,155.0,1960.0,0.03,37.65792031098153
NASA TTT,B58_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,365.0,3370.0,0.03,60.1714474118035
NASA TTT,B59_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,280.0,2670.0,0.03,116.52101539741992
NASA TTT,B60_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,360.0,1380.0,0.03,66.88963210702342
NASA TTT,B61_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,345.0,1710.0,0.03,37.36192332683561
NASA TTT,B62_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,345.0,1900.0,0.03,67.2514619883041
NASA TTT,B63_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.05,255.0,2870.0,0.03,59.23344947735192
NASA TTT,B64_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,100.0,1460.0,0.03,28.538812785388128
NASA TTT,B65_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,285.0,2230.0,0.03,35.50074738415546
NASA TTT,B66_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,295.0,2080.0,0.03,118.18910256410257
NASA TTT,B67_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,165.0,990.0,0.03,50.505050505050505
NASA TTT,B68_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.12,245.0,2610.0,0.03,26.07492550021286
NASA TTT,B69_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,205.0,1210.0,0.03,70.59228650137742
NASA TTT,B70_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,120.0,1820.0,0.03,54.94505494505495
